id;long_name;description;oktmo;okato;long_name_eng;type;region;latitude;longitude
97485;Электросталь;Московская область;46790000;46490000;Elektrostal;municipality;46;55.78473;38.4447
104237;Бердск;Новосибирская область;50708000;50408000;Berdsk city;municipality;50;;
117102;Березники;Пермский край;57708000;57253000;Berezniki town;municipality;57;59.42776;56.68379
130632;Азов;Ростовская область;60704000;60404000;city ​​of Azov;municipality;60;47.11216;39.42326
130635;Батайск;Ростовская область;60707000;60407000;Bataysk city;municipality;60;47.13833;39.75072
130638;Волгодонск;Ростовская область;60712000;60412000;Volgodonsk city;municipality;60;47.51653;42.1985
130654;Новочеркасск;Ростовская область;60727000;60427000;Novocherkassk city;municipality;60;47.41192;40.10421
130657;Новошахтинск;Ростовская область;60730000;60430000;Novoshakhtinsk city;municipality;60;47.75777;39.93637
137043;Михайловское муниципальное образование;;65628104;65228504000;;municipality;;;
138440;Верхняя Пышма;Свердловская область;65732000;65432000;Upper Pyshma;municipality;65;56.97589;60.56504
138525;Каменск-Уральский;Свердловская область;65740000;65440000;the city of Kamensk-Uralsky;municipality;65;56.41496;61.91887
138650;Первоуральск;Свердловская область;65753000;65480000;Pervouralsk;municipality;65;56.90801;59.94293
144203;Севастополь;Севастополь;67000000;67000000;Sevastopol;fed_city;67;44.36;33.32
146392;Мичуринск;Тамбовская область;68715000;68415000;Michurinsk city;municipality;68;52.89124;40.51044
5812;Шушь;;4558000291;;;п;;;
150869;Новомосковск;Тульская область;70724000;70234000;Novomoskovsk city;municipality;70;54.081944;38.468613
152808;Тобольск;Тюменская область;71710000;71410000;Tobolsk city;municipality;71;58.20173;68.25386
153202;Ханты-Мансийск;Ханты-Мансийский автономный округ - Югра;71871000;71131000;Khanty-Mansiysk city;municipality;718;61.0024;69.01848
43702;Дзержинск;Нижегородская область;22721000;22421000;Dzerzhinsk;city;22;56.23838;43.461636
153212;Нефтеюганск;Ханты-Мансийский автономный округ - Югра;71874000;71134000;Nefteyugansk city;municipality;718;61.08827;72.61641
153397;Салехард;Ямало-Ненецкий автономный округ;71951000;71171000;Salekhard city;municipality;719;66.54921;66.60853
153410;Новый Уренгой;Ямало-Ненецкий автономный округ;71956000;71176000;the city of Novy Urengoy;municipality;719;66.08394;76.68097
