id,oktmo,indicator,okved,scenario,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100,Y2101,Y2102,Y2103,Y2104,Y2105,Y2106,Y2107,Y2108,Y2109,Y2110,Y2111,Y2112,Y2113,Y2114,Y2115,Y2116,Y2117,Y2118,Y2119,Y2120,Y2121
266001,05701000,C1049,35.3,dyn_use,,9621.097,8796.075,8056.9595,7409.057,6862.246,6448.988,6219.657,6222.501,6497.835,7071.5547,7944.44,9101.032,10506.246,12115.045,12947.481,13690.165,14332.311,14870.899,15303.763,15637.128,15878.284,16036.54,16675.107,17872.494,19002.676,20060.209,21040.236,21942.87,22769.268,23521.627,24204.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266002,05701000,C1049,35,dyn_high,,,,,,,,,,,,,,,84306.67,88195.18,91955.65,95487.125,98712.65,101548.734,103956.18,105892.62,108588.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266003,05701000,C1049,35,dyn_low,,,,,,,,,,,,,,,63163.89,69366.01,75264.51,80753.45,85779.31,90279.984,94263.03,97752.4,99631.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266004,05701000,C1049,35,dyn_use,,57951.54,52982.12,48530.14,44627.58,41333.93,38844.715,37463.367,37480.5,39138.94,42594.67,47852.395,54818.99,63283.13,72973.54,78216.03,83192.52,87811.81,92019.03,95748.73,98991.03,101741.125,104013.56,108155.33,115921.625,123252.03,130111.22,136467.72,142322.22,147682.27,152562.1,156993.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266005,05701000,C1049,36,dyn_high,,,,,,,,,,,,,,,80.13049,74.86786,69.56899,64.31323,59.15246,54.172768,49.408966,44.89728,41.131104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266006,05701000,C1049,36,dyn_low,,,,,,,,,,,,,,,60.03503,58.884,56.941315,54.38969,51.4023,48.161274,44.801945,41.44592,37.738213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266007,05701000,C1049,36,dyn_use,,55.080875,50.35762,46.12617,42.416927,39.286427,36.92052,35.607597,35.623882,37.200172,40.48472,45.482,52.103497,60.14836,69.35875,66.396675,62.939255,59.143696,55.141388,51.07866,47.0491,43.137096,39.39815,40.966965,43.908676,46.685276,49.283394,51.6911,53.908665,55.93894,57.787315,59.465736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266008,05701000,C1049,37,dyn_high,,,,,,,,,,,,,,,56.145992,52.458534,48.745686,45.063053,41.44698,37.957787,34.619873,31.458609,28.819708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266009,05701000,C1049,37,dyn_low,,,,,,,,,,,,,,,42.065468,41.258934,39.897713,38.109818,36.016594,33.745655,31.391825,29.04031,26.442379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266010,05701000,C1049,37,dyn_use,,38.594177,35.28468,32.31978,29.720778,27.527294,25.869545,24.949604,24.961014,26.06549,28.366917,31.868418,36.507984,42.144875,48.59843,46.522934,44.100357,41.440857,38.636497,35.78981,32.966362,30.225285,27.605463,28.704699,30.765894,32.711403,34.53185,36.218876,37.77268,39.195248,40.490368,41.666405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
