okved.id;okved.okved;okved.lvl1;okved.lvl2;okved.short_name;okved.description;okved.long_name
420;17.22;17;22;;Эта группировка включает:- производство изделий хозяйственного назначения и для личной гигиены из бумаги и медицинского алигнина, включая: косметические салфетки, носовые платки, полотенца, салфетки для сервировки стола, туалетную бумагу, гигиенические полотенца и тампоны, детские пеленки и подгузники, стаканчики, тарелки и подносы/- производство текстильного материала для набивки и изделий из нее для изготовления гигиенических полотенец, тампонов и т. п.Эта группировка не включает:- производство целлюлозных материалов для набивки, см. 17.12;Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения
421;17.23;17;23;;Эта группировка включает:- производство типографской и писчей бумаги, готовой для использования/- производство бумаги для распечатки данных на компьютере, готовой для использования/- производство самокопировальной бумаги, готовой для использования/- производство трафаретной и копировальной бумаги, готовой для использования/- производство самоклеящейся бумаги, готовой для использования/- производство конвертов и почтовых карточек/- производство школьных и офисных канцелярских товаров (блокнотов, тетрадей, журналов, бухгалтерских книг, деловых бланков и т. д.), если нанесение изображения на бумагу не является их главной характеристикой/- производство коробок, сумок и пакетов и аналогичных изделий для хранения корреспонденции, а также записных книжек, почтовых наборов, содержащих ассортимент писчебумажных принадлежностей и канцелярских товаровЭта группировка не включает:- печать на бумажной продукции, см. 18.1;Производство бумажных канцелярских принадлежностей
422;17.24;17;24;;Эта группировка включает:- производство обоев и подобных материалов для оклеивания стен, включая виниловые и текстильные обоиЭта группировка не включает:- производство бумаги или картона без упаковки, см. 17.12/- производство пластиковых обоев, см. 22.29;Производство обоев
423;17.29;17;29;;Эта группировка включает:- производство этикеток/- производство фильтровальной бумаги и картона, фильтровальных блоков, плит и пластин из бумажной массы/- производство бумажных и картонных бобин, катушек, шпулек и т. п./- производство формованных картонных упаковок для яиц и прочих бумажных рельефных упаковочных изделий/- производство бумажных сувениров/- производство бумажных и картонных перфокарт для использования в жаккардовых текстильных станках/- производство печатной упаковки из бумаги и картонаЭта группировка не включает:- производство игральных карт, см. 32.4NULL/- производство игр и игрушек из бумаги и картона, см. 32.4NULL;Производство прочих изделий из бумаги и картона
424;18.1;18;1;;Эта группировка включает:- издание такой печатной продукции, как газеты, книги, периодические издания, деловые бланки, поздравительные открытки и прочие материалы/- вспомогательную деятельность, такую как переплетное дело, изготовление печатных форм и обработка изображений. Печать может быть выполнена с использованием различных технологий и на различных материалах;Деятельность полиграфическая и предоставление услуг в этой области
425;18.11;18;11;;Эта группировка не включает:- издание полиграфической продукции, см. 58.1/- фотокопирование документов, см. 82.19;Печатание газет
426;18.12;18;12;;Эта группировка включает:- печать журналов и прочих периодических изданий, выходящих реже четырех раз в неделю/- печать книг и брошюр, нот и партитур, карт, атласов, плакатов, рекламных каталогов, проспектов и прочей печатной рекламы, почтовых марок, акцизных марок, товарораспорядительных документов, чеков и прочих ценных бумаг, смарт-карт, альбомов, дневников, календарей и прочей коммерческой печатной продукции, личных бланков и прочих печатных материалов, изготовленных высокой печатью, офсетной печатью, глубокой печатью, флексографической печатью, трафаретной печатью, а также с применением других методов, множительных машин, печатающих устройств компьютеров, машин для тиснения и т. п., включая срочное копирование/- печать непосредственно на текстильные изделия, пластик, стекло, металл, дерево и керамикуПечатный материал, как правило, защищен Законом Российской Федерации "Об авторском праве и смежных правах"Эта группировка также включает:- печать этикеток или ярлыков (литография, гравюрная печать, флексография и т. п.)/- печать многокрасочной упаковки, с дополнительными оформительскими элементами, на листах бумаги и картона с последующим формированием конечного изделия;Прочие виды полиграфической деятельности
427;18.13;18;13;;Эта группировка включает:- составление, набор текста, фотонабор, подготовку данных, включая сканирование и оптическое распознавание символов/текста, электронный набор/- подготовку данных для различных носителей информации (бумага, СD-RОМ, информационно-коммуникационная сеть Интернет, иные цифровые и электронные носители)/- изготовление печатных форм, включая обработку изображений (для машин высокой и офсетной печати)/- подготовку цилиндров, включая гравировку цилиндров для глубокой печати/- обработку копии на печатной пластине: "с компьютера на пластину" (включая фотополимерные пластины)/- подготовку пластин и клише для рельефной штамповки или печати/- подготовку к печати: художественных работ технического плана, таких как литографические стенды и деревянные блоки/ средств для презентаций, например прозрачных слайдов и прочих форм демонстрации изображений/ набросков, разметок, эскизов и т. п./- производство корректурных оттисковЭта группировка не включает:- специализированную дизайнерскую деятельность, см. 74.1NULL;Изготовление печатных форм и подготовительная деятельность
428;18.14;18;14;;Эта группировка включает:- переплет издательской продукции, установку образцов и постпечатные услуги, например завершающую подготовку обложек, книг, брошюр, журналов, каталогов и т.п./- нанесение пленки, подрезание и выравнивание листов, сборку, стачивание отдельных частей/- прошивание нитками, бесшовное клеевое скрепление блока, укладку, склеивание, упорядочение, наметывание, тиснение золотом, скрепление металлической и пластиковой спиралью/- переплет и обработка печатной бумаги или печатного картона, сгибание, тиснение, пробивание отверстий, гравировка, склеивание, ламинирование/- переплетные, брошюровочные, окантовочные, картонажные работы по индивидуальному заказу населения/- завершающую подготовку для изготовления CD-ROM/- завершающую подготовку почтовых отправлений, такую как изготовление конвертов по требованию заказчика, изготовление обложки/- прочие завершающие виды деятельности, такие как штамповка, прессовка, тиснение, печать для незрячих;Деятельность брошюровочно- переплетная и отделочная и сопутствующие услуги
429;18.2;18;2;;;Копирование записанных носителей информации
430;18.20;18;20;;Эта группировка включает:- копирование на грампластинки, компакт-диски и музыкальные или иные звукозаписи с оригинальной матрицы (мастер-копии)/- копирование на видеоленты, компакт-диски и кассеты фильмов и прочих видеозаписей с оригинальной матрицы/- копирование на диски, магнитные ленты, запись на электронный носитель, запись в память ЭВМ компьютерных программ и данных с оригинального носителяЭта группировка не включает:- размножение печатной продукции, см. 18.11, 18.12/- выпуск программного обеспечения, см. 58.2/- производство и распространение кинофильмов, видеозаписей и фильмов на DVD и подобных носителях, см. 59.11, 59.12, 59.13/- тиражирование кинофильмов для показа в кинотеатрах, см. 59.12/- производство оригиналов с записями или звуковыми материалами, см. 59.2NULL;Копирование записанных носителей информации
431;19.1;19;1;;;Производство кокса
432;19.10;19;10;;Эта группировка включает:- обеспечение работы коксовых печей/- производство кокса и полукокса/- производство смолы, пека, асфальта и пекового кокса/- производство коксового газа/- производство каменноугольной и лингитовой смол/- обогащение кокса;Производство кокса
433;19.2;19;2;;;Производство нефтепродуктов
434;19.20;19;20;;Эта группировка включает:- производство жидкого и газообразного топлива, а также прочих продуктов из нефти, битуминозных пород и продуктов собственного фракционированияОчистка нефти происходит в несколько этапов: фракционирование, прямая перегонка неочищенной нефти и разложение (крекинг-процесс)Эта группировка также включает:- производство дизельного топлива, бензина и керосина/- производство облегченного, среднего и тяжелого топлива, газов, таких как этан, пропан, бутан и т.д./- производство смазочных масел или смазок из нефти, включая остатки ее перегонки, и из отработанного масла/- производство продуктов для нефтехимической промышленности, а также для производства дорожных покрытий/- производство нефтепродуктов: отбеливателей, вазелина, парафина, нефтяного кокса и т.д./- производство нефтяных брикетов - смешивание биотоплива с нефтью (например, производство газохола)Эта группировка также включает:- получение сжиженных газов при очистке нефти;Производство нефтепродуктов
435;19.3;19;3;;;Агломерация угля, антрацита и бурого угля (лигнита) и производство термоуглей
436;19.31;19;31;;;Агломерация антрацита
437;19.32;19;32;;;Агломерация угля
438;19.33;19;33;;;Агломерация бурого угля (лигнита)
439;19.34;19;34;;;Производство термоуглей
440;20.1;20;1;Хим. веществ.;Эта группировка включает:- производство основных химических веществ, удобрений и азотных соединений, а также пластмасс и синтетического каучука в первичных формах;Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах
441;20.11;20;11;;Эта группировка включает:- производство сжиженных и сжатых неорганических газов для промышленных или медицинских целей: элементные газы, жидкий или сжатый воздух, холодильные агенты, смешанные промышленные газы, неорганические кислородные соединения, например, диоксид углерода, инертные газыЭта группировка не включает:- производство метана, этана, бутана или пропана, см. NULL6.2NULL/- производство топливных газов, таких как этан, бутан или пропан при переработке нефти, см. 19.2NULL/- производство искусственного горючего газа из угля и отходов и т. д., см. 35.21;Производство промышленных газов
442;20.12;20;12;;Эта группировка включает:- производство красителей и пигментов из исходного вещества в виде гранул или в виде концентратаЭта группировка также включает:- производство флуоресцентных веществ и люминофоров;Производство красителей и пигментов
443;20.13;20;13;;Эта группировка включает:- производство химических веществ с использованием основных процессовРезультатом этих процессов являются отдельные химические элементы или определенные химические соединенияЭта группировка также включает:- производство химических элементов (кроме промышленных газов и основных сплавов)/- производство неорганических кислот (кроме азотной кислоты)/- производство щелочей, щелоков и прочих неорганических соединений (кроме аммиака)/- производство прочих неорганических соединений/- обжиг железного колчедана/- производство дистиллированной водыЭта группировка также включает:- обогащение урановых и ториевых руд/- производство урана, обогащенного U-235, и его соединений/- производство плутония и его соединений/- производство урана, обедненного U-235, и его соединений/ - производство тория и его соединений/- производство радиоактивных элементов и изотопов прочих/- производство прочих ядерных материалов/- производство прочих радиоактивных веществ;Производство прочих основных неорганических химических веществ
444;20.14;20;14;;Эта группировка включает:- производство химических веществ при помощи основных процессов (таких как тепловой крекинг, дистилляция и низкотемпературное фракционирование)Результатом таких процессов обычно являются отдельные химические элементы или отдельные сложные химические соединенияЭта группировка включает:- производство основных органических химических соединений: ациклические углеводороды, насыщаемые и ненасыщаемые, циклические углеводороды, насыщаемые и ненасыщаемые/ ациклические и циклические спирты, моно- и поликарбоновые кислоты, в том числе уксусная кислота, прочие кислородные соединения, включая альдегиды, кетоны, хиноны и соединения с двумя и более кислородосодержащими группами, синтетический глицерин, органические соединения с азотосодержащими функциональными группами, в том числе амины, брожение сахарного тростника, зерна и т.п. для производства спиртов и сложных эфиров/- производство прочих органических соединений, в том числе продуктов, получаемых путем перегонки древесины/- производство синтетических ароматических веществ/- перегонку каменноугольного дегтяЭта группировка не включает:- производство пластмасс в первичных формах, см. 2NULL.16/- производство синтетического каучука в первичных формах, см. 2NULL.17/- производство глицерина, см. 2NULL.41/- производство эфирных масел, см. 2NULL.53/- производство салициловых и О-ацетилсалициловых кислот, см. 21.1NULL;Производство прочих основных органических химических веществ
445;20.15;20;15;;Эта группировка включает:- производство удобрений: чистых или смешанных азотных, фосфорных или калийных удобрений, мочевины, неочищенных природных фосфатов и неочищенных природных калийных солей/- производство азотосодержащих продуктов: азотной кислоты, аммиака, хлорида аммония, карбоната аммония, нитритов и нитратов калияЭта группировка также включает:- производство глины с торфом в качестве основного компонента/- производство глиняных смесей с землей, песком и минералами;Производство удобрений и азотных соединений
446;20.16;20;16;;Эта группировка включает:- производство смол, пластмасс и термопластических эластомеров, смешивание смол, а также производство синтетических смолЭта группировка также включает:- производство пластмасс в первичных формах: полимеров, включая полиэтилен, полипропилен, полистирол, поливинилхлорид, поливинилацетат, полиакрилаты и т. п./ полиамидов/ фенольных и эпоксидных смол и полиуретанов/ алкидных и прочих сложных полиэфирных смол и простых полиэфиров/ силикона/ ионообменных смол на основе полимеровЭта группировка также включает:- производство целлюлозы и ее химических производныхЭта группировка не включает:- производство искусственных и синтетических волокон, нитей и пряжи, см. 2NULL.6NULL/- механическую разрезку пластмасс, см. 38.32;Производство пластмасс и синтетических смол в первичных формах
447;20.17;20;17;;Эта группировка включает:- производство синтетического каучука в первичных формах: синтетического каучука и фактиса/- производство смесей синтетического и натурального каучуков или каучукоподобных смол (например, балаты);Производство синтетического каучука в первичных формах
448;20.2;20;2;Агро. хим.;;Производство пестицидов и прочих агрохимических продуктов
449;20.20;20;20;;Эта группировка включает:- производство инсектицидов, родентицидов, фунгицидов, гербицидов, акарицидов, биоцидов/- производство средств против прорастания и регуляторов роста растений/- производство дезинфицирующих средств (не только для использования в сельском хозяйстве)/- производство прочих агрохимических продуктов и т. п.Эта группировка не включает:- производство удобрений и азотных соединений, см. 2NULL.15;Производство пестицидов и прочих агрохимических продуктов
450;20.3;20;3;Краски и лак;;Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик
451;20.30;20;30;;Эта группировка включает:- производство красок, эмалей и лаков/- производство готовых пигментов и красителей, глушителей и красок/- производство стекловидных эмалей и глазури, а также ангобов и подобных веществ/- производство мастики/- производство замазок и неогнеупорных шпатлевок и грунтовок/- производство сложных органических растворителей и разбавителей/- производство готовых составов для удаления лаков и красок/- производство полиграфической краскиЭта группировка не включает:- производство наполнительных красителей и пигментов, см. 2NULL.12/- производство чернил и туши, см. 2NULL.59;Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик
452;20.4;20;4;Моющ. сред.;;Производство мыла и моющих, чистящих и полирующих средств/ парфюмерных и косметических средств
453;20.41;20;41;;Эта группировка включает:- производство органических поверхностно-активных средств/- производство бумаги, ваты, войлока и т. п., пропитанных моющими средствами/- производство глицерина/- производство мыла, кроме косметического/- производство поверхностно-активных средств: стиральных порошков в сухой и жидкой форме, а также чистящих средств, средств для мытья посуды, средств для смягчения изделий из тканей/- производство чистящих и полирующих средств: средств для ароматизации и дезодорирования воздуха в помещениях, искусственных и готовых восков, чистящих и полирующих средств для изделий из кожи, чистящих и полирующих средств для изделий из дерева, чистящих средств для машин, стекол и металла, чистящих паст и порошков, включая бумагу, вату и т. п., имеющих их в своем составеЭта группировка не включает:- производство отдельных сложных химических веществ, см. 2NULL.13, 2NULL.14/- производство глицерина, синтезированного на нефтяных продуктах, см. 2NULL.14/- производство косметического мыла, см. 2NULL.42;Производство мыла и моющих, чистящих и полирующих средств
454;20.42;20;42;;Эта группировка включает:- производство парфюмерных и косметических средств: духов и туалетной воды, косметических препаратов и декоративной косметики, средств для загара и после загара, средств для маникюра и педикюра, шампуней, лаков для волос, средств для завивки и выпрямления волос, зубных паст и средств гигиены полости рта, включая фиксаторы для зубных протезов, средств для бритья, включая средства до и после бритья, дезодорантов и солей для ванн, средств для депиляции/- производство косметического мылаЭта группировка не включает:- получение и очистку натуральных эфирных масел, см. 2NULL.53;Производство парфюмерных и косметических средств
455;20.5;20;5;Проч. хим.;Эта группировка включает:- производство взрывчатых веществ и пиротехнических материалов, клеев, эфирных масел и химических продуктов, не включенных в другие группировки, например химического материала для фотографии (включая пленку и фоточувствительную бумагу), составных диагностических препаратов и т. п.;Производство прочих химических продуктов
456;20.52;20;52;;Эта группировка включает:- производство клеев и готовых клеящих составов, включая клеи и готовые клеящие составы на резиновой основеЭта группировка не включает:- производство желатина и продукции на его основе, см. 2NULL.59;Производство клеев
457;20.53;20;53;;Эта группировка включает:- производство экстрактов натуральных ароматических продуктов/- производство резиноидов/- производство смесей душистых веществ для изготовления духов и продуктов питанияЭта группировка не включает:- производство синтетических ароматических веществ, см. 2NULL.14/- производство парфюмерных и косметических средств, см. 2NULL.42;Производство эфирных масел
458;20.59;20;59;;Эта группировка включает:- производство фотопластинок, фотопленок, фоточувствительной бумаги и прочих светочувствительных материалов/- производство химических препаратов, используемых в фотографии/- производство желатина и его производных/- производство различных химических веществ: пептонов и прочих белковых соединений и их производных/ химически измененных масел и жиров, средств для конечной обработки изделий из текстиля и кожи, порошков и паст для пайки и сварки, веществ для защиты металла от коррозии, готовых добавок к цементу, активированного угля, готовых смазочных масел, готовых катализаторов из каучука и прочих химических веществ для промышленного применения, детонаторов, антифризов/ жидкостей для гидравлических передач, сложных диагностических и лабораторных реактивов- изготовление компонентов жидкого ракетного топливаЭта группировка также включает:- производство чернил и туши;Производство прочих химических продуктов, не включенных в другие группировки
459;20.6;20;6;Хим. волокно;;Производство химических волокон
460;20.60;20;60;;Эта группировка включает:- производство синтетических или искусственных ниток/- производство синтетических или искусственных штапельных волокон, не прошедших процессов кардочесания, гребнечесания или прочих процессов подготовки к прядению/- производство синтетической или искусственной пряжи, включая высокопрочную/- производство синтетических или искусственных мононитей или полосЭта группировка не включает:- прядение синтетических или искусственных волокон, см. 13.1NULL/- производство швейных ниток из синтетических и искусственных волокон, см. 13.1NULL;Производство химических волокон
461;21.1;21;1;Фарм. субст.;;Производство фармацевтических субстанций
462;21.10;21;10;;Эта группировка включает:- производство активных веществ, применяемых в медицинских целях, которые обладают фармакологическими свойствами для использования в производстве лекарственных препаратов: антибиотиков, основных необходимых витаминов, салициловых и О-ацетилсалициловых кислот и т. п./- переработку кровиЭта группировка также включает:- производство химически чистых сахаров/- переработку желез и производство экстрактов из желез и т. д.;Производство фармацевтических субстанций
463;21.2;21;2;Лекарства;;Производство лекарственных препаратов и материалов, применяемых в медицинских целях
464;21.20;21;20;;Эта группировка включает:- производство лекарственных препаратов: иммунные сыворотки и другие фракции крови/ вакцины/ различные лекарства, в том числе гомеопатические препараты/- производство химических противозачаточных препаратов для наружного применения и гормональных противозачаточных лекарств/- производство диагностических реагентов, применяемых в медицинских целях, включая реагенты для тестов на определение беременности/- производство радиоактивных диагностических веществ, применяемых в медицинских целях/- производство биофармацевтических препаратовЭта группировка также включает:- производство специально пропитанного материала, применяемого в медицинских целях: ваты, марли, бинтов, материала для перевязок и т. п./- подготовку растительных продуктов (толчение, сортировка, дробление) для использования в фармацевтике;Производство лекарственных препаратов и материалов, применяемых в медицинских целях
465;22.1;22;1;Разин. изд.;Эта группировка включает:- производство резиновых изделий;Производство резиновых изделий
466;22.11;22;11;;Эта группировка включает:- производство изделий из резины для транспортных средств, авиации, игрушек, мебели и для прочих целей: пневматических шин, цельных резиновых шин или шин с прорезиненным ободом/- производство резиновых камер для шин/- производство взаимозаменяемых протекторов и клапанов, ободных лент, заготовок для восстановления резиновых шин/- восстановление протектора и капитальный ремонт шинЭта группировка не включает:- производство резиновых материалов для ремонта шин, см. 22.19/- ремонт резиновых камер, их монтаж и замену, см. 45.2NULL;Производство резиновых шин, покрышек и камер/ восстановление резиновых шин и покрышек
467;22.19;22;19;;Эта группировка включает:- производство прочих изделий из натуральной и синтетической резины, невулканизированной, вулканизированной или резины повышенной прочности: резиновых печатных форм, листов, прокладок, стержней, фигур, выстроганных по контуру/ камер, труб и шлангов/ прорезиненных ленточных транспортеров, приводных ремней или материалов для изготовления приводных ремней/ гигиенических изделий: средств индивидуальной защиты, сосок, грелок/ предметов одежды из пластмасс, не сшитых, а склеенных/ резиновых подошв и прочих частей обуви/ резиновых лент и жгутов/ прорезиненной пряжи и материи/ резиновых ободов и покрытий, уплотнений/ надувных резиновых матрацев/ надувных шаров/- производство резиновых щеток для волос/- производство резиновых труб/- производство расчесок для волос, шпилек, бигуди и т. п. из твердой резиныЭта группировка также включает:- производство резиновых материалов для ремонта/- производство тканей, пропитанных, покрытых, прослоенных резиной, где резина является главной составной частью/- производство резиновых водяных матрацев/- производство резиновых гидрокостюмов и костюмов для подводного погружения/- производство резиновых изделий для сексуальных нужд;Производство прочих резиновых изделий
468;22.2;22;2;Пластмасс изд.;Эта группировка включает:- производство новых или переработку уже использованных пластмассовых изделий в субпродукты или готовые продукты с использованием таких процессов как формовка под прессом, штамповка, выдувание и литьеВ результате производственного процесса можно произвести широкий ассортимент многообразных изделий;Производство изделий из пластмасс
469;22.21;22;21;;Эта группировка включает:- производство полуфабрикатов из пластмасс, таких как: пластмассовые плиты, полосы, блоки, пленки, фольга, листы (включая самоклеящиеся)/- производство готовых изделий из пластмасс: пластмассовых труб, рукавов и шлангов, приспособлений для шлангов и рукавов, целлофановой пленки или листа/- производство труб и шлангов для уранодобывающего производства/- производство покрытий полимерных защитных для улучшения радиационной обстановкиЭта группировка не включает:- производство пластмасс в первичных формах, см. 2NULL.16/- производство изделий из синтетической и натуральной резины, см. 22.1;Производство пластмассовых плит, полос, труб и профилей
