okved.id;okved.okved;okved.lvl1;okved.lvl2;okved.short_name;okved.description;okved.long_name
152;03;03;;Рыболовство;Эта группировка включает:- рыболовство и рыбоводство, включая использование ресурсов рыболовства в морских, минерализованных или пресных водах, с целью добычи (вылова) или сбора рыбы, ракообразных, моллюсков и прочих морских организмов и продуктов (например, водорослей, жемчуга, губок и т. д.)Эта группировка также включает:- деятельность, которая чаще всего является частью производства за собственный счет (например, осеменение устриц для производства жемчуга)Вспомогательные производственные услуги рыболовства в морской или пресной воде или рыбоводстве включены в соответствующую деятельность в сфере рыболовства или рыбоводстваЭта группировка не включает:- строительство и восстановление судов и лодок, см. 3NULL.1, 33.15/- спортивно-любительскую рыбалку, см. 93.19/- обработку рыбы, ракообразных или моллюсков на заводах, расположенных на берегу или на производственных судах, см.1NULL.2NULL;Рыболовство и рыбоводство
153;05;05;;Угледобыча;Эта группировка включает:- добычу твердого минерального топлива подземным или открытым способом и виды работ (например, гранулирование, очистку, прессовку и прочие операции, необходимые для перевозки добываемого сырья и т. д.) для получения продукции, пригодной для сбытаЭта группировка не включает:- коксование, см. 19.1NULL/- услуги, сопутствующие добыче угля или бурого угля (лигнита), см. NULL9.9NULL;Добыча угля
154;06;06;;Нефтедобыча;Эта группировка включает:- добычу нефти/- добычу нефтяного (попутного) газа/- добычу горючих (битуминозных) сланцев и битуминозных песков и извлечение из них нефти/- добычу природного газа и жидких углеводородов (конденсата)Эта группировка включает также:- деятельность по эксплуатации и/или разработке нефтяных и газовых месторожденийПодобная деятельность может включать оснащение и оборудование скважин, эксплуатацию промысловых сепараторов, деэмульгаторов, илоотделителей, нефтепромысловых трубопроводов и все прочие виды деятельности по подготовке нефти или газа, для перевозки от места их добычи до пункта отгрузки (поставки)Эта группировка не включает:- услуги по добыче нефти и газа за вознаграждение или на контрактной основе, см. NULL9.1NULL/-поисково-разведочные работы на нефтяных и газовых скважинах, см. NULL9.1NULL/- разведочное бурение, см. NULL9.1NULL/- очистку нефтепродуктов, см. 19.2NULL/- разведку нефтяных месторождений и другие геофизические, геологические и сейсмические исследования, см. 71.12;Добыча сырой нефти и природного газа
155;07;07;;Металлодоб.;Эта группировка включает:- добычу металлических полезных ископаемых (руды) подземным и открытым способом и с морского днаЭта группировка также включает:- обогащение и очистку руды, например, дробление, измельчение, промывка, просушка, спекание, прокаливание или выщелачивание, операции гравитационного разделения или флотацииЭта группировка не включает:- обжиг железного колчедана, см. 2NULL.13/- производство оксида алюминия, см. 24.42/- обеспечение работы доменных печей, см. 24;Добыча металлических руд
156;08;08;;Пол.ископ.;Эта группировка включает:- добычу ископаемых из карьеров, а также разработку аллювиальных отложений, скальных пород, соляных месторожденийПолучаемые продукты используются главным образом в строительстве (например, песок, камень и т. п.), в производстве строительных материалов (например, глины, гипса и т. п.), в производстве химикатов и т. п.Эта группировка не включает:- процессы обработки (кроме дробления, измельчения, обогащения, сушки, сортировки и смешивания) добываемых полезных ископаемых, см. раздел С;Добыча прочих полезных ископаемых
157;09;09;;Пол.ископ.(усл);Эта группировка включает:- предоставление услуг в области добычи полезных ископаемых;Предоставление услуг в области добычи полезных ископаемых
158;10;10;;Пищевая;Эта группировка включает:- обработку продуктов сельского хозяйства, лесного хозяйства и рыболовства для приготовления продуктов питания для людей и корма для животных, а также производство различных промежуточных продуктов, которые не являются пищевыми продуктамиВ процессе подобной деятельности часто вырабатываются полуфабрикаты различные по своей стоимости (например, получение кожи от убоя скота или жмыховой муки от производства масла). Эта группировка описывает деятельность, которая связана с различными видами продуктов питания, такими как: мясо, рыба, фрукты и овощи, жиры и масла, молочные продукты, продукты мукомольно-крупяной промышленности, корма для животных и прочие продовольственные продукты. Производство может быть выполнено за свой счет, за счет третьих лиц, а также в обычной скотобойне. Некоторые виды деятельности считаются производством (например, в булочных, кондитерских цехах и т. д., которые продают собственную продукцию), даже если они продают продукцию в розницу в собственном магазине производителя. Однако в тех случаях, когда обработка минимальна и не приводит к действительному преобразованию, деятельность относят к оптовой и розничной торговле (раздел G). Приготовление продуктов питания для потребления на месте классифицировано в группировке 56 (продажа кулинарной продукции и напитков). Производство корма для животных из отходов при забое скота или субпродуктов классифицировано в группировке1NULL.9, переработка отходов продуктов питания и напитков во вторичное сырье классифицирована в группировке 38.3, а утилизация отходов продуктов питания и напитков классифицирована в группировке 38.21Группировка включает:- переработку продуктов сельского хозяйства, лесного хозяйства и рыболовства для приготовления продуктов питания для людей и корма для животных, а также производство различных продуктов промежуточного потребления, которые не являются пищевыми продуктамиВ процессе подобной деятельности часто вырабатываются полуфабрикаты различные по своей стоимости (например, кожа от забоя скота или жмыховая мука от производства масла)Эта группировка не включает:- приготовление кулинарной продукции для потребления на месте, например в ресторанах;Производство пищевых продуктов
159;23;23;;Минералы;Эта группировка включает:- производственную деятельность, относящуюся к производству изделий на минеральной основеЭта группировка включает:- производство стекла и изделий из стекла (например, листового стекла, полого стекла, стекловолокна и др.), керамических изделий, напольных покрытий, кафеля, черепицы, цемента и штукатурки и т. д.Эта группировка также включает:- производство отделочного камня и прочей минеральной продукции;Производство прочей неметаллической минеральной продукции
160;24;24;;Металлургия;Эта группировка включает:- деятельность по плавке и/или рафинированию черных и цветных металлов из руды, чушек или лома с использованием методов электрометаллургии и прочих металлургических процессовЭта группировка также включает:- производство сплавов металлов, включая сплавы со специальными свойствами (например, сверхпрочные сплавы), путем добавления в исходный чистый металл прочих химических элементовПродукция плавки и рафинирования, обычно в форме слитков, используется для прокатки, волочения и прессования при производстве листа, полосы, сортового проката, прутков, проволоки и труб или в жидкой форме для производства отливок и прочей металлопродукции;Производство металлургическое
161;25;25;;Метал. изд.;Эта группировка включает:- производство готовых металлических изделий, в том числе изделий со специальными свойствами (например, запчастей, контейнеров и ящиков), обычно устанавливаемых неподвижно и закрепляемых, в отличие от изделий последующих группировок 26-3NULL, в которых описывается сочетание или сборка таких металлических изделий (иногда вместе с другими материалами) в более сложные изделия с движущимися деталями, если они целиком не относятся к электрическим, электронным или оптическим приборамЭта группировка также включает:- производство оружия и боеприпасов;Производство готовых металлических изделий, кроме машин и оборудования
162;26;26;;Электроника;Эта группировка включает:- производство компьютеров, периферийных устройств к ним, средств связи и подобной электронной продукции, средств защиты информации, создание информационных и телекоммуникационных систем, защищенных с использованием средств защиты информации, а также производство комплектующих изделий и составных частей (запчастей) для нихДля производственных процессов этой группировки характерны: разработка и использование интегральных микросхем, и применение высоких специализированных технологий микроэлектроники и нанотехнологийЭта группировка также включает:- производство бытовой электроники, измерительного, испытательного и обслуживающего оборудования/- радиолокационного оборудования/- оборудования, применяемого в медицинских целях/- оптических приборов и оборудования/- производство магнитных и оптических носителей информации;Производство компьютеров, электронных и оптических изделий
163;27;27;;Эл. оборуд.;Эта группировка включает:- производство аппаратуры, производящей, распределяющей и использующей электроэнергию, включая производство электроосветительного и сигнального оборудования, а также бытовой электротехникиЭта группировка не включает:- производство электронных изделий, см. 26.;Производство электрического оборудования
164;28;28;;Маш. и обор.;Эта группировка включает:- производство машин и оборудования, которые оказывают на материалы механическое или термическое воздействие или при помощи которых выполняются операции с материалами (такие как обработка, напыление, взвешивание или упаковка), включая производство их деталей и составных частей, которые производят и используют энергиюВ эту группировку включено производство стационарных и передвижных или переносимых устройств, независимо от того изготовлены они для промышленности, строительства, сельского хозяйства или бытового назначения. Производство специального оборудования для перевозки пассажиров и грузов в пределах ограниченного пространства также включено в данную группировку. В этой группировке разделено производство машин специального назначения, т. е. машин для ограниченного использования в промышленности или в небольшой группе секторов промышленности, и универсальных машин, которые используются в широком диапазоне секторов промышленностиЭта группировка также включает:- производство прочих машин специального назначения, не входящих в другие группировки данной классификации, и не используемых в промышленном производстве, таких как развлекательное оборудование для выставок, автоматическое оборудование кегельбанов и т. п.;Производство машин и оборудования, не включенных в другие группировки
165;29;29;;Автомобили;Эта группировка включает:- производство автотранспортных средств для перевозки пассажиров или грузовЭта группировка также включает:- производство различных комплектующих и принадлежностей, производство трейлеров и полуприцеповЭта группировка не включает:- техническое обслуживание, содержание и ремонт автотранспортных средств, см. 45.2NULL;Производство автотранспортных средств, прицепов и полуприцепов
166;30;30;;Трансп. ср.;Эта группировка включает:- строительство транспортных средств, таких как корабли и суда, лодки/- производство железнодорожных составов и локомотивов, воздушных и космических судов и комплектующих изделий;Производство прочих транспортных средств и оборудования
167;31;31;;Мебель;Эта группировка включает:- производство мебели и соответствующих изделий из любых материалов, за исключением камня, бетона и керамикиТехнология производства мебели заключается в использовании стандартных методов формовки материалов и сборки компонентов, включая резку, прессовку и ламинирование. Важным аспектом производственного процесса является разработка изделий с учетом их эстетических и функциональных характеристик. Некоторые из процессов, используемых в производстве мебели, подобны процессам, которые используются в прочих видах производств. Например, фрезерование и сборка происходят и при производстве деревянных связок, изготовление которых включено в группировку 16. Однако производство деревянной мебели от производства изделий из дерева отличает множество процессов. Точно также при производстве металлической мебели используются технологии, которые также используются в производстве строительных конструкций, включенных в группировку 25. Процесс изготовления пластиковой мебели подобен процессу формовки прочих пластиковых изделий. Однако изготовление мебели из пластмасс является более специализированным видом производства;Производство мебели
168;32;32;;Изделия;Эта группировка включает:- производство различных товаров, не вошедших в другие группировкиТак как это остаточная группировка, то перечисленные в этой группировке процессы производства, исходные материалы и использование произведенных товаров могут широко варьироваться, в ней не применимо обычное деление на группировки;Производство прочих готовых изделий
169;22;22;;Рез. и пласт.;Эта группировка включает:- производство резиновых и пластмассовых изделийЭта группировка характеризуется использованием необработанных материалов в производственном процессе.Однако это не значит, что производство всех сделанных из этих материалов изделий систематизировано в этой группировке;Производство резиновых и пластмассовых изделий
170;21;21;;Лекарства;Эта группировка включает:- производство фармацевтических субстанций, лекарственных препаратов, применяемых в медицинских целяхЭта группировка также включает:- производство химических препаратов и веществ на основе трав, применяемых в медицинских целях;Производство лекарственных средств и материалов, применяемых в медицинских целях
171;11;11;;Напитки;Эта группировка включает:- производство безалкогольных напитков и минеральных вод/- производство алкогольных напитков, главным образом через брожение, производство пива и вина/- производство дистиллированных алкогольных напитковЭта группировка не включает:- производство фруктовых и овощных соков, см. 1NULL.32/- производство молочных напитков, см. 1NULL.51/- производство кофе, чая и мате, см. 1NULL.83;Производство напитков
172;12;12;;Табачные;Эта группировка включает:- переработку сельскохозяйственной продукции - табака в табачную продукцию, готовую для использования потребителем;Производство табачных изделий
173;13;13;;Текстиль;Эта группировка включает:- подготовку и прядение текстильных волокон, а также плетение текстиля, отделку тканей и текстильных изделий/- производство готовых текстильных изделий, кроме одежды (например, бельевые ткани, одеяла, коврики, такелаж и т. д.)Производство натуральных волокон относится к группировке NULL1, в то время как производство синтетических волокон - химический процесс, относящийся к группировке 2NULL.6NULLПроизводство одежды относится к группировке 14;Производство текстильных изделий
174;14;14;;Одежда;Эта группировка включает:- все швейные изделия (готовые или сделанные по индивидуальному заказу) из всех материалов (например, из кожи, текстильных тканей, вязаных и трикотажных тканей и т. д.), все виды одежды (например, верхняя одежда, нижнее белье для мужчин, женщин или детей/ рабочая, офисная или повседневная одежда и т. д.) и аксессуарыНе существует каких-либо разграничений между одеждой для взрослых и для детей или между современной и традиционной одеждойЭта группировка также включает:- производство кожаной одежды (меховых изделий);Производство одежды
175;15;15;;Из кожи;Эта группировка включает:- отделку и окрашивание меха/- переработку сырых шкур в кожу путем дубления и создание изделий из кожи, готовых к конечному потреблениюЭта группировка также включает:- производство подобных изделий из других материалов (искусственных кож или заменителей кожи), таких как резиновая обувь, чемоданы из ткани и т. д./- производство изделий, изготовленных из остатков кожаного производства по таким же технологиям и нередко на том же оборудовании, как и все перечисленные изделия из кожи;Производство кожи и изделий из кожи
176;16;16;;Древесина;Эта группировка включает:- производство изделий из дерева, таких как пиломатериалы, фанера, шпон, деревянные контейнеры, настилы, деревянные связки и сборные деревянные строенияПроизводственные процессы включают распиловку, обработку на строгальном станке, формовку, ламинирование и сборку изделий из дерева, начиная с распилки необработанного лесоматериала на короткие бревна или на пиломатериалы, которые затем могут быть обрезаны или обработаны на токарном станке или на других обрабатывающих станках. Пиломатериалы или прочие переработанные виды древесины также могут впоследствии быть подвергнуты строганию или полировке и собраны в готовые изделия, такие как деревянные контейнеры. За исключением распиловки эта группировка подразделяется, главным образом, по определенным видам производственных изделийЭта группировка не включает:- производство мебели, см. 31.NULL/- установку деревянной фурнитуры и т. п., см. 43.32, 43.33, 43.39;Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения
177;17;17;;Бумага;Эта группировка включает:- производство бумажной массы, бумаги или изделий из дополнительно обработанной бумагиПри производстве этих товаров применяется вертикальная интеграция нескольких видов деятельности, так как различные операции осуществляются одним хозяйствующим субъектом последовательно. Выделяются три основных вида экономической деятельности. Производство бумажной массы состоит в отделении целлюлозных волокон от примесей, содержащихся в древесине, или растворении или очищении от чернил использованной бумаги и смешивании в небольшом количестве реагентов для усиления сплетения волокон. Производство бумаги, сопряженное с выливанием бумажной массы на движущуюся проволочную сетку, в результате чего формируется сплошной лист. Изделия из бумажной макулатуры производятся из бумаги и других материалов при помощи различных технологий. Печатание изделий из бумаги (например, обои, подарочная обвертка и т. п.) также включены в данную группировку при условии, что полиграфическая деятельность является вспомогательной. Производство древесной массы и целлюлозы, бумаги и картона без упаковки помещено в группировку 17.1, в то время как остальные группировки включают описание дальнейшего процесса производства бумаги и бумажной продукции;Производство бумаги и бумажных изделий
